lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.492353,13.64925833,100.4923543,13.64925717,0.19,6.59,6.74,01:06.7,1.266666667,4.56
100.4923517,13.64925917,100.492353,13.64925833,0.17,6.74,6.88,01:06.9,1.214285714,4.371428571
100.4923503,13.64926017,100.4923517,13.64925917,0.18,6.88,7.02,01:07.0,1.285714286,4.628571429
100.4923488,13.649261,100.4923503,13.64926017,0.19,7.02,7.16,01:07.2,1.357142857,4.885714286
100.4923477,13.64926217,100.4923488,13.649261,0.18,7.16,7.31,01:07.3,1.2,4.32
100.4923463,13.64926317,100.4923477,13.64926217,0.18,7.31,7.45,01:07.5,1.285714286,4.628571429
100.492345,13.649264,100.4923463,13.64926317,0.17,7.45,7.59,01:07.6,1.214285714,4.371428571
100.4923435,13.64926483,100.492345,13.649264,0.19,7.59,7.74,01:07.7,1.266666667,4.56
100.4923422,13.64926583,100.4923435,13.64926483,0.18,7.74,7.88,01:07.9,1.285714286,4.628571429
100.492341,13.64926667,100.4923422,13.64926583,0.16,7.88,8.02,01:08.0,1.142857143,4.114285714
100.4923395,13.6492675,100.492341,13.64926667,0.19,8.02,8.17,01:08.2,1.266666667,4.56
100.4923383,13.6492685,100.4923395,13.6492675,0.17,8.17,8.31,01:08.3,1.214285714,4.371428571
100.4923368,13.6492695,100.4923383,13.6492685,0.2,8.31,8.45,01:08.5,1.428571429,5.142857143
100.4923355,13.6492705,100.4923368,13.6492695,0.18,8.45,8.59,01:08.6,1.285714286,4.628571429
100.4923343,13.64927133,100.4923355,13.6492705,0.16,8.59,8.74,01:08.7,1.066666667,3.84
100.492333,13.64927233,100.4923343,13.64927133,0.18,8.74,8.88,01:08.9,1.285714286,4.628571429
100.4923317,13.64927333,100.492333,13.64927233,0.18,8.88,9.02,01:09.0,1.285714286,4.628571429
100.4923303,13.64927433,100.4923317,13.64927333,0.18,9.02,9.17,01:09.2,1.2,4.32
100.492329,13.64927533,100.4923303,13.64927433,0.18,9.17,9.31,01:09.3,1.285714286,4.628571429
100.4923277,13.64927617,100.492329,13.64927533,0.17,9.31,9.45,01:09.4,1.214285714,4.371428571
100.4923262,13.649277,100.4923277,13.64927617,0.19,9.45,9.6,01:09.6,1.266666667,4.56
100.492325,13.649278,100.4923262,13.649277,0.17,9.6,9.74,01:09.7,1.214285714,4.371428571
100.4923237,13.649279,100.492325,13.649278,0.18,9.74,9.88,01:09.9,1.285714286,4.628571429
100.4923223,13.64928,100.4923237,13.649279,0.18,9.88,10.02,01:10.0,1.285714286,4.628571429
100.492321,13.64928083,100.4923223,13.64928,0.17,10.02,10.17,01:10.2,1.133333333,4.08
100.4923197,13.64928167,100.492321,13.64928083,0.17,10.17,10.31,01:10.3,1.214285714,4.371428571
100.4923183,13.6492825,100.4923197,13.64928167,0.17,10.31,10.45,01:10.4,1.214285714,4.371428571
100.4923168,13.64928317,100.4923183,13.6492825,0.18,10.45,10.6,01:10.6,1.2,4.32
100.4923153,13.649284,100.4923168,13.64928317,0.19,10.6,10.74,01:10.7,1.357142857,4.885714286
100.492314,13.649285,100.4923153,13.649284,0.18,10.74,10.88,01:10.9,1.285714286,4.628571429
100.4923127,13.64928583,100.492314,13.649285,0.17,10.88,11.03,01:11.0,1.133333333,4.08
100.4923113,13.64928667,100.4923127,13.64928583,0.17,11.03,11.17,01:11.2,1.214285714,4.371428571
100.49231,13.6492875,100.4923113,13.64928667,0.17,11.17,11.31,01:11.3,1.214285714,4.371428571
100.4923088,13.6492885,100.49231,13.6492875,0.17,11.31,11.45,01:11.5,1.214285714,4.371428571
100.4923073,13.64928917,100.4923088,13.6492885,0.18,11.45,11.6,01:11.6,1.2,4.32
100.492306,13.64929017,100.4923073,13.64928917,0.18,11.6,11.74,01:11.7,1.285714286,4.628571429
