raw_x_east,raw_y_north,x_east,y_north
661479.5189,1509697.878,661480.7573,1509697.336
661479.2118,1509697.968,661480.4879,1509697.461
661478.9047,1509698.058,661480.2113,1509697.579
661478.5797,1509698.13,661479.9275,1509697.69
661478.2548,1509698.183,661479.6348,1509697.792
661477.9298,1509698.255,661479.3367,1509697.887
661477.6229,1509698.308,661479.0332,1509697.976
661477.298,1509698.362,661478.7244,1509698.057
661476.9912,1509698.415,661478.412,1509698.133
661476.6843,1509698.469,661478.0996,1509698.203
661476.3594,1509698.522,661477.7836,1509698.267
661476.0525,1509698.575,661477.4677,1509698.328
661475.7096,1509698.629,661477.1482,1509698.385
661475.3847,1509698.682,661476.8287,1509698.44
661475.0418,1509698.735,661476.5074,1509698.495
661474.6808,1509698.788,661476.1825,1509698.548
661474.3199,1509698.841,661475.8522,1509698.602
661473.959,1509698.876,661475.5183,1509698.653
661473.5981,1509698.929,661475.179,1509698.705
661473.2192,1509698.964,661474.8325,1509698.754
661472.8222,1509699.016,661474.4788,1509698.804
661472.4433,1509699.051,661474.1179,1509698.851
661472.0284,1509699.085,661473.7498,1509698.897
661471.6135,1509699.12,661473.3726,1509698.941
661471.2166,1509699.154,661472.9901,1509698.982
661470.8016,1509699.188,661472.6022,1509699.022
661470.3868,1509699.204,661472.2089,1509699.059
661469.9719,1509699.239,661471.8102,1509699.095
661469.575,1509699.273,661471.4078,1509699.129
661469.1782,1509699.289,661471.0037,1509699.162
661468.7993,1509699.324,661470.6015,1509699.193
661468.3844,1509699.358,661470.1956,1509699.223
661467.9875,1509699.392,661469.7915,1509699.254
661467.5725,1509699.427,661469.3874,1509699.285
661467.1396,1509699.461,661468.9797,1509699.315
661466.7066,1509699.495,661468.5702,1509699.346
661466.2556,1509699.529,661468.1571,1509699.379
661465.7866,1509699.563,661467.7385,1509699.411
661465.3175,1509699.616,661467.3128,1509699.445
661464.8124,1509699.649,661466.8762,1509699.481
661464.3253,1509699.683,661466.4288,1509699.517
661463.8381,1509699.736,661465.9742,1509699.555
661463.3331,1509699.769,661465.5087,1509699.593
661462.846,1509699.803,661465.0361,1509699.63
661462.3588,1509699.856,661464.558,1509699.67
661461.8537,1509699.889,661464.0727,1509699.709
661461.3487,1509699.923,661463.582,1509699.749
661460.8436,1509699.957,661463.0877,1509699.788
661460.3205,1509699.991,661462.588,1509699.826
661459.7973,1509700.024,661462.0865,1509699.863
661459.2562,1509700.058,661461.5796,1509699.901
661458.7331,1509700.091,661461.0691,1509699.936
661458.1919,1509700.125,661460.555,1509699.972
661457.6688,1509700.159,661460.0373,1509700.007
661457.1456,1509700.211,661459.5159,1509700.043
661456.6225,1509700.244,661458.9928,1509700.078
661456.1174,1509700.278,661458.4697,1509700.114
661455.5943,1509700.312,661457.9447,1509700.149
661455.0892,1509700.346,661457.4216,1509700.185
661454.5841,1509700.379,661456.9003,1509700.22
661454.079,1509700.413,661456.3826,1509700.256
661453.5919,1509700.447,661455.8685,1509700.291
661453.0869,1509700.481,661455.3579,1509700.327
661452.5819,1509700.496,661454.8493,1509700.361
661452.0768,1509700.53,661454.3424,1509700.393
661451.5718,1509700.545,661453.8373,1509700.423
661451.0668,1509700.56,661453.3323,1509700.451
661450.5618,1509700.594,661452.829,1509700.479
661450.0567,1509700.628,661452.3258,1509700.507
661449.5516,1509700.662,661451.8225,1509700.536
661449.0646,1509700.677,661451.3211,1509700.562
661448.5776,1509700.711,661450.8196,1509700.588
661448.0905,1509700.745,661450.32,1509700.615
661447.6034,1509700.797,661449.8222,1509700.645
661447.1343,1509700.831,661449.3279,1509700.675
661446.6654,1509700.847,661448.8373,1509700.705
661446.1965,1509700.862,661448.3502,1509700.736
661445.7455,1509700.897,661447.8686,1509700.766
661445.2765,1509700.931,661447.3906,1509700.796
661444.8075,1509700.965,661446.9162,1509700.826
661444.3565,1509700.999,661446.4454,1509700.858
661443.8874,1509701.033,661445.9764,1509700.891
661443.4185,1509701.048,661445.5092,1509700.921
661442.9675,1509701.082,661445.0456,1509700.949
661442.4986,1509701.098,661444.582,1509700.976
661442.0295,1509701.15,661444.1184,1509701.006
661441.5603,1509701.203,661443.6548,1509701.04
661441.0912,1509701.255,661443.1894,1509701.076
661440.6222,1509701.289,661442.7239,1509701.112
661440.153,1509701.342,661442.2585,1509701.15
661439.684,1509701.376,661441.7912,1509701.188
661439.215,1509701.41,661441.324,1509701.225
661438.7278,1509701.462,661440.8549,1509701.267
